ID	Kinases	Group
1	ADRBK1	AGC
2	ADRBK2	AGC
3	AKT1	AGC
4	AKT2	AGC
5	AKT3	AGC
6	CDC42BPA	AGC
7	CDC42BPB	AGC
8	CDC42BPG	AGC
9	CIT	AGC
10	DMPK	AGC
11	GRK1	AGC
12	GRK4	AGC
13	GRK5	AGC
14	GRK6	AGC
15	GRK7	AGC
16	LATS1	AGC
17	LATS2	AGC
18	MAST1	AGC
19	MAST2	AGC
20	MAST3	AGC
21	MAST4	AGC
22	MASTL	AGC
23	PDPK1	AGC
24	PKN1	AGC
25	PKN2	AGC
26	PKN3	AGC
27	PRKACA	AGC
28	PRKACB	AGC
29	PRKACG	AGC
30	PRKCA	AGC
31	PRKCB	AGC
32	PRKCD	AGC
33	PRKCE	AGC
34	PRKCG	AGC
35	PRKCH	AGC
36	PRKCI	AGC
37	PRKCQ	AGC
38	PRKCZ	AGC
39	PRKG1	AGC
40	PRKG2	AGC
41	PRKX	AGC
42	PRKY	AGC
43	ROCK1	AGC
44	ROCK2	AGC
45	RPS6KA1	AGC
46	RPS6KA2	AGC
47	RPS6KA3	AGC
48	RPS6KA4	AGC
49	RPS6KA5	AGC
50	RPS6KA6	AGC
51	RPS6KB1	AGC
52	RPS6KB2	AGC
53	RPS6KC1	AGC
54	RPS6KL1	AGC
55	SGK1	AGC
56	SGK2	AGC
57	SGK3	AGC
58	STK32A	AGC
59	STK32B	AGC
60	STK32C	AGC
61	STK38	AGC
62	STK38L	AGC
63	ADCK1	ATYPICAL
64	ADCK2	ATYPICAL
65	ADCK3	ATYPICAL
66	ADCK5	ATYPICAL
67	ALPK1	ATYPICAL
68	ALPK2	ATYPICAL
69	ALPK3	ATYPICAL
70	ATM	ATYPICAL
71	ATR	ATYPICAL
72	BCKDK	ATYPICAL
73	BCR	ATYPICAL
74	BRD4	ATYPICAL
75	EEF2K	ATYPICAL
76	FASTK	ATYPICAL
77	MTOR	ATYPICAL
78	PDK1	ATYPICAL
79	PDK2	ATYPICAL
80	PDK3	ATYPICAL
81	PDK4	ATYPICAL
82	PRKDC	ATYPICAL
83	RIOK2	ATYPICAL
84	RIOK3	ATYPICAL
85	SMG1	ATYPICAL
86	STK19	ATYPICAL
87	TAF1	ATYPICAL
88	TRIM24	ATYPICAL
89	TRIM28	ATYPICAL
90	TRPM6	ATYPICAL
91	TRPM7	ATYPICAL
92	TWF1	ATYPICAL
93	RIOK1	ATYPICAL
94	ADCK4	ATYPICAL
95	BRSK1	CAMK
96	BRSK2	CAMK
97	CAMK1	CAMK
98	CAMK1D	CAMK
99	CAMK1G	CAMK
100	CAMK2A	CAMK
101	CAMK2B	CAMK
102	CAMK2D	CAMK
103	CAMK2G	CAMK
104	CAMK4	CAMK
105	CAMKV	CAMK
106	CASK	CAMK
107	CHEK1	CAMK
108	CHEK2	CAMK
109	DAPK1	CAMK
110	DAPK2	CAMK
111	DAPK3	CAMK
112	DCLK1	CAMK
113	DCLK2	CAMK
114	DCLK3	CAMK
115	HUNK	CAMK
116	KALRN	CAMK
117	MAPKAPK2	CAMK
118	MAPKAPK3	CAMK
119	MAPKAPK5	CAMK
120	MARK1	CAMK
121	MARK2	CAMK
122	MARK3	CAMK
123	MARK4	CAMK
124	MELK	CAMK
125	MKNK1	CAMK
126	MKNK2	CAMK
127	MYLK	CAMK
128	MYLK2	CAMK
129	MYLK3	CAMK
130	MYLK4	CAMK
131	NUAK1	CAMK
132	NUAK2	CAMK
133	OBSCN	CAMK
134	PASK	CAMK
135	PHKG1	CAMK
136	PHKG2	CAMK
137	PIM1	CAMK
138	PIM2	CAMK
139	PIM3	CAMK
140	PNCK	CAMK
141	PRKAA1	CAMK
142	PRKAA2	CAMK
143	PRKD1	CAMK
144	PRKD2	CAMK
145	PRKD3	CAMK
146	PSKH1	CAMK
147	PSKH2	CAMK
148	SIK1	CAMK
149	SIK2	CAMK
150	SIK3	CAMK
151	SNRK	CAMK
152	SPEG	CAMK
153	STK11	CAMK
154	STK17A	CAMK
155	STK17B	CAMK
156	STK33	CAMK
157	STK40	CAMK
158	TRIO	CAMK
159	TSSK1B	CAMK
160	TSSK2	CAMK
161	TSSK3	CAMK
162	TSSK4	CAMK
163	TSSK6	CAMK
164	TTN	CAMK
165	NIM1	CAMK
166	SgK494	CAMK
167	TRIB1	CAMK
168	TRIB2	CAMK
169	TRIB3	CAMK
170	CSNK1A1	CK1
171	CSNK1A1L	CK1
172	CSNK1D	CK1
173	CSNK1E	CK1
174	CSNK1G1	CK1
175	CSNK1G2	CK1
176	CSNK1G3	CK1
177	TTBK1	CK1
178	TTBK2	CK1
179	VRK1	CK1
180	VRK2	CK1
181	VRK3	CK1
182	CDK1	CMGC
183	CDK10	CMGC
184	CDK11A	CMGC
185	CDK11B	CMGC
186	CDK12	CMGC
187	CDK13	CMGC
188	CDK14	CMGC
189	CDK15	CMGC
190	CDK16	CMGC
191	CDK17	CMGC
192	CDK18	CMGC
193	CDK19	CMGC
194	CDK2	CMGC
